id,category,brand,model,year,status,price,city,image,short,description,specs
kmu-224,kmu,Palfinger,"РК 24001 K High Performance",2012,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"Кран-манипулятор Palfinger РК 24001 K High Performance","2012 год. Цена: договорная ₽",
kmu-223,kmu,Hiab,166XS,2008,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"Hiab 166XS (пульт) HiPro","Система HiPro (увеличенная грузоподъёмность). Отличное состояние. Цена: договорная ₽","HiPro; пульт"
kmu-221,kmu,Fassi,"190 A 24",2006,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"Fassi 190 A 24","Привезён из Германии, растаможен. Цена: договорная ₽","Грузоподъёмность на 2 м (как в каталоге)"
kmu-222,kmu,Palfinger,"PK 15002 (Performance)",2005,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"Palfinger PK15002 (Performance)","Отличное состояние. Производство Австрия. Цена: договорная ₽",
kmu-214,kmu,HMF,1730,2011,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"HMF-1730","Производство Дания. Привезён из Германии. Растаможен. Цена: договорная ₽",
kmu-216,kmu,Hiab,144,2005,"В наличии (2 шт.)",Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"Hiab-144","В наличии 2 одинаковых крана (текст в каталоге обрывается). Цена: договорная ₽","2 шт. (по каталогу)"
kmu-208,kmu,Ferrari,728,,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"FERRARI 728","Грузовой момент 25.6 т/м. Производство Италия. Цена: договорная ₽","Грузовой момент 25.6 т/м"
kmu-205,kmu,HMF,1820,2008,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"HMF 1820","Отличное состояние. Производство Дания. Привезён из Германии. Растаможен. Цена: договорная ₽",
kmu-209,kmu,Palfinger,"PK 17502 (Performance)",2005,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"Palfinger PK17502 (Performance)","Производство Австрия. Привезён из Германии. Растаможен. Текст обрывается на «3 гидравлических…». Цена: договорная ₽","3 гидравлических… (обрезано в каталоге)"
kmu-219,kmu,Palfinger,17000,,В наличии,Договорная,Санкт-Петербург,/assets/img/placeholder.svg,"PALFINGER 17000","Производство Австрия. Привезён из Германии. Растаможен. Цена: договорная ₽","3 гидравлических стрелы и 1 ручная (по каталогу)"
